Name	Type 1	Type 2	Total	HP	Attack	Defense	Sp. Atk	Sp. Def	Speed
Sunkern	Grass		180	30	30	30	30	30	30
Azurill	Normal	Fairy	190	50	20	40	20	40	20
Kricketot	Bug		194	37	25	41	25	41	25
Caterpie	Bug		195	45	30	35	20	20	45
Wurmple	Bug		195	45	45	35	20	30	20
Weedle	Bug	Poison	195	40	35	30	20	20	50
Ralts	Psychic	Fairy	198	28	25	25	45	35	40
Scatterbug	Bug		200	38	35	40	27	25	35
Magikarp	Water		200	20	10	55	15	20	80
Feebas	Water		200	20	15	20	10	55	80
Cascoon	Bug		205	50	35	55	25	25	15
Silcoon	Bug		205	50	35	55	25	25	15
Pichu	Electric		205	20	40	15	35	35	60
Metapod	Bug		205	50	20	55	25	25	30
Kakuna	Bug	Poison	205	45	25	50	25	25	35
Wooper	Water	Ground	210	55	45	45	25	25	15
Tyrogue	Fighting		210	35	35	35	35	35	35
Igglybuff	Normal	Fairy	210	90	30	15	40	20	15
Spewpa	Bug		213	45	22	60	27	30	29
Sentret	Normal		215	35	46	34	35	45	20
Cleffa	Fairy		218	50	25	28	45	55	15
Poochyena	Dark		220	35	55	35	30	30	35
Happiny	Normal		220	100	5	5	15	65	30
Seedot	Grass		220	40	40	50	30	30	30
Lotad	Water	Grass	220	40	30	30	40	50	30
Burmy	Bug		224	40	29	45	29	45	36
Shedinja	Bug	Ghost	236	1	90	45	30	30	40
Makuhita	Fighting		237	72	60	30	20	30	25
Bunnelby	Normal		237	38	36	38	32	36	57
Zigzagoon	Normal		240	38	30	41	30	41	60
Whismur	Normal		240	64	51	23	51	23	28
Combee	Bug	Flying	244	30	30	42	30	42	70
Togepi	Fairy		245	35	20	65	40	65	20
Noibat	Flying	Dragon	245	40	30	35	45	40	55
Zubat	Poison	Flying	245	40	45	35	30	40	55
Starly	Normal	Flying	245	40	55	30	30	30	60
Smeargle	Normal		250	55	20	35	20	45	75
Slugma	Fire		250	40	40	40	70	40	20
Bidoof	Normal		250	59	45	40	35	40	31
Hoppip	Grass	Flying	250	35	35	40	35	55	50
Marill	Water	Fairy	250	70	20	50	20	50	40
Spinarak	Bug	Poison	250	40	60	40	40	40	30
Swinub	Ice	Ground	250	50	50	40	30	30	50
Pidgey	Normal	Flying	251	40	45	40	35	35	56
Rattata	Normal		253	30	56	35	25	35	72
Patrat	Normal		255	45	55	39	35	39	42
Skitty	Normal		260	50	45	45	35	35	50
Wynaut	Psychic		260	95	23	48	23	48	23
Venipede	Bug	Poison	260	30	45	59	30	39	57
Hoothoot	Normal	Flying	262	60	30	30	36	56	50
Spearow	Normal	Flying	262	40	60	30	31	31	70
Shinx	Electric		263	45	65	34	40	34	45
Pidove	Normal	Flying	264	50	55	50	36	30	43
Diglett	Ground		265	10	55	25	35	45	95
Ledyba	Bug	Flying	265	40	20	30	40	80	55
Nincada	Bug	Ground	266	31	45	90	30	30	40
Surskit	Bug	Water	269	40	30	32	50	52	65
Wingull	Water	Flying	270	40	30	30	55	30	85
Jigglypuff	Normal	Fairy	270	115	45	20	45	25	20
Taillow	Normal	Flying	270	40	55	30	30	30	85
Nidoran?	Poison		273	46	57	40	40	40	50
Litwick	Ghost	Fire	275	50	30	55	65	55	20
Cherubi	Grass		275	45	35	45	62	53	35
Nidoran?	Poison		275	55	47	52	40	40	41
Tynamo	Electric		275	35	55	40	45	40	60
Lillipup	Normal		275	45	60	45	25	45	55
Kirlia	Psychic	Fairy	278	38	35	35	65	55	50
Fletchling	Normal	Flying	278	45	50	43	40	38	62
Slakoth	Normal		280	60	60	60	35	35	30
Mareep	Electric		280	55	40	40	65	45	35
Petilil	Grass		280	45	35	50	70	50	30
Roggenrola	Rock		280	55	75	85	25	25	15
Budew	Grass	Poison	280	40	30	35	50	70	55
Meditite	Fighting	Psychic	280	30	40	55	40	55	60
Cottonee	Grass	Fairy	280	40	27	60	37	50	66
Purrloin	Dark		281	41	50	37	50	37	66
Chingling	Psychic		285	45	30	50	65	50	45
Riolu	Fighting		285	40	70	40	35	40	60
Paras	Bug	Grass	285	35	70	55	45	55	25
Ekans	Poison		288	35	60	44	40	54	55
Ditto	Normal		288	48	48	48	48	48	48
Barboach	Water	Ground	288	50	48	43	46	41	60
Inkay	Dark	Psychic	288	53	54	53	37	46	45
Helioptile	Electric	Normal	289	44	38	33	61	43	70
Bonsly	Rock		290	50	80	95	10	45	10
Meowth	Normal		290	40	45	35	40	40	90
Solosis	Psychic		290	45	30	40	105	50	20
Gothita	Psychic		290	45	30	50	55	65	45
Pineco	Bug		290	50	65	90	35	35	15
Trapinch	Ground		290	45	100	45	45	45	10
Spheal	Ice	Water	290	70	40	50	55	50	25
Munna	Psychic		292	76	25	45	67	55	24
Sandile	Ground	Dark	292	50	72	35	35	35	65
Tympole	Water		294	50	50	40	50	40	64
Foongus	Grass	Poison	294	69	55	45	55	55	15
Shuppet	Ghost		295	44	75	35	63	33	45
Duskull	Ghost		295	20	40	90	30	90	25
Blitzle	Electric		295	45	60	32	50	32	76
Horsea	Water		295	30	40	70	70	25	60
Shroomish	Grass		295	60	40	60	40	60	35
Electrike	Electric		295	40	45	40	65	40	65
Vulpix	Fire		299	38	41	40	50	65	65
Beldum	Steel	Psychic	300	40	55	80	35	60	30
Geodude	Rock	Ground	300	40	80	100	30	30	20
Sandshrew	Ground		300	50	75	85	20	30	40
Bagon	Dragon		300	45	75	60	40	30	50
Dratini	Dragon		300	41	64	45	50	50	50
Snubbull	Fairy		300	60	80	50	40	40	30
Remoraid	Water		300	35	65	35	65	35	65
Minccino	Normal		300	55	50	40	40	40	75
Klink	Steel		300	40	55	70	45	60	30
Goomy	Dragon		300	45	50	35	55	75	40
Poliwag	Water		300	40	50	40	40	40	90
Snorunt	Ice		300	50	50	50	50	50	50
Bronzor	Steel	Psychic	300	57	24	86	24	86	23
Deino	Dark	Dragon	300	52	65	50	45	50	38
Bellsprout	Grass	Poison	300	50	75	35	70	30	40
Baltoy	Ground	Psychic	300	40	40	55	40	70	55
Larvitar	Rock	Ground	300	50	64	50	45	50	41
Gible	Dragon	Ground	300	58	70	45	40	45	42
Croagunk	Poison	Fighting	300	48	61	40	61	40	50
Gulpin	Poison		302	70	43	53	43	53	40
Yamask	Ghost		303	38	30	85	55	65	30
Flabébé	Fairy		303	44	38	39	61	79	42
Golett	Ground	Ghost	303	59	74	50	35	50	35
Bergmite	Ice		304	55	69	85	32	35	28
Venonat	Bug	Poison	305	60	55	50	40	55	45
Mankey	Fighting		305	40	80	35	35	45	70
Timburr	Fighting		305	75	80	55	25	35	35
Shellder	Water		305	30	65	100	45	25	40
Vanillite	Ice		305	36	50	50	65	60	44
Machop	Fighting		305	70	80	50	35	35	35
Cubchoo	Ice		305	55	70	40	60	40	40
Shelmet	Bug		305	50	40	85	40	65	25
Carvanha	Water	Dark	305	45	90	20	65	20	65
Ducklett	Water	Flying	305	62	44	50	44	50	55
Ferroseed	Grass	Steel	305	44	50	91	24	86	10
Smoochum	Ice	Psychic	305	45	30	15	85	65	65
Numel	Fire	Ground	305	60	60	40	65	45	35
Binacle	Rock	Water	306	42	52	67	39	56	50
Fennekin	Fire		307	40	45	40	62	60	60
Corphish	Water		308	43	80	65	50	35	35
Oshawott	Water		308	55	55	45	63	45	45
Snivy	Grass		308	45	45	55	45	55	63
Tepig	Fire		308	65	63	45	45	45	45
Cyndaquil	Fire		309	39	52	43	60	50	65
Charmander	Fire		309	39	52	43	60	50	65
Chimchar	Fire		309	44	58	44	58	44	61
Phantump	Ghost	Grass	309	43	70	48	50	60	38
Glameow	Normal		310	49	55	42	42	37	85
Mudkip	Water		310	50	70	50	50	50	40
Treecko	Grass		310	40	45	35	65	55	70
Abra	Psychic		310	25	20	15	105	55	90
Torchic	Fire		310	45	60	40	70	50	45
Doduo	Normal	Flying	310	35	85	45	35	35	75
Swablu	Normal	Flying	310	45	40	60	40	75	50
Gastly	Ghost	Poison	310	30	35	30	100	35	80
Sewaddle	Bug	Grass	310	45	53	70	40	60	42
Mime Jr.	Psychic	Fairy	310	20	25	45	70	90	60
Woobat	Psychic	Flying	313	55	45	43	55	43	72
Chespin	Grass		313	56	61	65	48	45	38
Piplup	Water		314	53	51	53	61	56	40
Froakie	Water		314	41	56	40	62	44	71
Totodile	Water		314	50	65	64	44	48	43
Squirtle	Water		314	44	48	65	50	64	43
Karrablast	Bug		315	50	75	45	40	45	60
Darumaka	Fire		315	70	90	45	15	45	50
Slowpoke	Water	Psychic	315	90	65	65	40	40	15
Pansage	Grass		316	50	53	48	53	48	64
Panpour	Water		316	50	53	48	53	48	64
Pansear	Fire		316	50	53	48	53	48	64
Chikorita	Grass		318	45	49	65	49	65	45
Turtwig	Grass		318	55	68	64	45	55	31
Bulbasaur	Grass	Poison	318	45	49	49	65	65	45
Joltik	Bug	Electric	319	50	47	50	57	50	65
Skrelp	Poison	Water	320	50	60	60	60	60	30
Axew	Dragon		320	46	87	60	30	40	57
Cubone	Ground		320	50	50	95	40	50	35
Pikachu	Electric		320	35	55	40	50	50	90
Psyduck	Water		320	50	52	48	65	50	55
Goldeen	Water		320	45	67	60	35	50	63
Oddish	Grass	Poison	320	45	50	55	75	65	30
Natu	Psychic	Flying	320	40	50	45	70	45	70
Clefairy	Fairy		323	70	45	48	60	65	35
Honedge	Steel	Ghost	325	45	80	100	35	37	28
Seel	Water		325	65	45	55	45	70	45
Eevee	Normal		325	55	55	50	45	65	55
Shellos	Water		325	76	48	48	57	62	34
Grimer	Poison		325	80	80	50	40	50	25
Krabby	Water		325	30	105	90	25	25	50
Dwebble	Bug	Rock	325	50	65	85	35	35	55
Exeggcute	Grass	Psychic	325	60	40	80	60	45	40
Magnemite	Electric	Steel	325	25	35	70	95	55	45
Drowzee	Psychic		328	60	48	45	43	90	42
Drilbur	Ground		328	60	85	40	30	45	68
Trubbish	Poison		329	50	50	62	40	62	65
Stunky	Poison	Dark	329	63	63	47	41	41	74
Skorupi	Poison	Bug	330	40	50	90	30	55	65
Hippopotas	Ground		330	68	72	78	38	42	32
Zorua	Dark		330	40	65	40	80	40	65
Voltorb	Electric		330	40	30	50	55	55	100
Phanpy	Ground		330	90	60	60	40	40	40
Clauncher	Water		330	50	53	62	58	63	44
Luvdisc	Water		330	43	30	55	40	65	97
Buizel	Water		330	55	65	35	60	30	85
Spoink	Psychic		330	60	25	35	70	80	60
Finneon	Water		330	49	49	56	49	61	66
Teddiursa	Normal		330	60	80	50	50	50	40
Chinchou	Water	Electric	330	75	38	38	56	56	67
Houndour	Dark	Fire	330	45	60	30	80	50	65
Aron	Steel	Rock	330	50	70	100	40	40	30
Delibird	Ice	Flying	330	45	55	45	65	45	75
Snover	Grass	Ice	334	60	62	50	62	60	40
PumpkabooAverage Size	Ghost	Grass	335	49	66	70	44	55	51
Cacnea	Grass		335	50	85	40	85	40	35
Elgyem	Psychic		335	55	55	55	85	55	30
PumpkabooSmall Size	Ghost	Grass	335	44	66	70	44	55	56
PumpkabooLarge Size	Ghost	Grass	335	54	66	70	44	55	46
Frillish	Water	Ghost	335	55	40	50	65	85	40
PumpkabooSuper Size	Ghost	Grass	335	59	66	70	44	55	41
Deerling	Normal	Grass	335	60	60	50	40	50	75
Tentacool	Water	Poison	335	40	40	35	50	100	70
Unown	Psychic		336	48	72	48	72	48	48
Skiploom	Grass	Flying	340	55	45	50	45	65	80
Staravia	Normal	Flying	340	55	75	50	40	40	80
Koffing	Poison		340	40	65	95	60	45	35
Staryu	Water		340	30	45	55	70	55	85
Nuzleaf	Grass	Dark	340	70	70	40	60	40	60
Vibrava	Ground	Dragon	340	50	70	50	50	50	70
Lombre	Water	Grass	340	60	50	50	60	70	50
Pawniard	Dark	Steel	340	45	85	70	40	40	60
Swirlix	Fairy		341	62	48	66	59	57	49
Spritzee	Fairy		341	78	52	60	63	65	23
Clamperl	Water		345	35	64	85	74	55	32
Rhyhorn	Ground	Rock	345	80	85	95	30	30	25
Mantyke	Water	Flying	345	45	20	50	60	120	50
Pancham	Fighting		348	67	82	62	46	48	43
Drifloon	Ghost	Flying	348	90	50	34	60	44	70
Scraggy	Dark	Fighting	348	50	75	70	35	70	48
Pidgeotto	Normal	Flying	349	63	60	55	50	50	71
Skiddo	Grass		350	66	65	48	62	57	52
Growlithe	Fire		350	55	70	45	70	50	60
Buneary	Normal		350	55	66	44	44	56	85
Cranidos	Rock		350	67	125	40	30	30	58
Mienfoo	Fighting		350	45	85	50	55	50	65
Rufflet	Normal	Flying	350	70	83	50	37	50	60
Shieldon	Rock	Steel	350	30	42	118	42	88	30
Krokorok	Ground	Dark	351	60	82	45	45	45	74
Farfetch'd	Normal	Flying	352	52	65	55	58	62	60
Omanyte	Rock	Water	355	35	40	100	90	55	35
Espurr	Psychic		355	62	48	54	63	60	68
Anorith	Rock	Bug	355	45	95	50	40	50	75
Tirtouga	Water	Rock	355	54	78	103	53	45	22
Kabuto	Rock	Water	355	30	80	90	55	45	55
Lileep	Rock	Grass	355	66	41	77	61	87	23
Tranquill	Normal	Flying	358	62	77	62	50	42	65
Larvesta	Bug	Fire	360	55	85	55	50	55	60
Aipom	Normal		360	55	70	55	40	55	85
Spinda	Normal		360	60	60	60	60	60	60
Loudred	Normal		360	84	71	43	71	43	48
Elekid	Electric		360	45	63	37	65	55	95
Whirlipede	Bug	Poison	360	40	55	99	40	79	47
Tyrunt	Rock	Dragon	362	58	89	77	45	45	48
Amaura	Rock	Ice	362	77	59	50	67	63	46
Luxio	Electric		363	60	85	49	60	49	60
Magby	Fire		365	45	75	37	70	55	83
Nidorina	Poison		365	70	62	67	55	55	56
Flaaffy	Electric		365	70	55	55	80	60	45
Nidorino	Poison		365	61	72	57	55	55	65
Litleo	Fire	Normal	369	62	50	58	73	54	72
Vullaby	Dark	Flying	370	70	55	75	45	65	60
Duosion	Psychic		370	65	40	50	125	60	30
Herdier	Normal		370	65	80	65	35	65	60
Lampent	Ghost	Fire	370	60	40	60	95	60	55
Floette	Fairy		371	54	45	47	75	98	52
Nosepass	Rock		375	30	45	135	45	90	30
Swadloon	Bug	Grass	380	55	63	90	50	80	42
Sableye	Dark	Ghost	380	50	75	75	65	65	50
Delcatty	Normal		380	70	65	65	55	55	70
Corsola	Water	Rock	380	55	55	85	65	85	35
Mawile	Steel	Fairy	380	50	85	85	55	55	50
Fletchinder	Fire	Flying	382	62	73	55	56	52	84
Palpitoad	Water	Ground	384	75	65	55	65	55	69
Kricketune	Bug		384	77	85	51	55	51	65
Poliwhirl	Water		385	65	65	65	50	50	90
Lickitung	Normal		385	90	55	75	60	75	30
Onix	Rock	Ground	385	35	45	160	30	45	70
Dustox	Bug	Poison	385	60	50	70	50	90	65
Weepinbell	Grass	Poison	390	65	90	50	85	45	55
Yanma	Bug	Flying	390	65	65	45	75	45	95
Graveler	Rock	Ground	390	55	95	115	45	45	35
Ledian	Bug	Flying	390	55	35	50	55	110	85
Munchlax	Normal		390	135	85	40	40	85	5
Boldore	Rock		390	70	105	105	50	40	20
Gothorita	Psychic		390	60	45	70	75	85	55
Ariados	Bug	Poison	390	70	90	70	60	60	40
Butterfree	Bug	Flying	395	60	45	50	90	80	70
Gloom	Grass	Poison	395	60	65	70	85	75	40
Vanillish	Ice		395	51	65	65	80	75	59
Porygon	Normal		395	65	60	70	85	75	40
Beedrill	Bug	Poison	395	65	90	40	45	80	75
Beautifly	Bug	Flying	395	60	70	50	100	50	65
Illumise	Bug		400	65	47	55	73	75	85
Wailmer	Water		400	130	70	35	70	35	60
Volbeat	Bug		400	65	73	55	47	75	85
Kadabra	Psychic		400	40	35	30	120	70	105
Roselia	Grass	Poison	400	50	60	45	100	80	65
Archen	Rock	Flying	401	55	112	45	74	45	70
Parasect	Bug	Grass	405	60	95	80	60	80	30
Togetic	Fairy	Flying	405	55	40	85	80	105	40
Machoke	Fighting		405	80	100	70	50	60	45
