rank,place,cheese,lon,lat
1,Ain,Morbier,5.348644,46.09971199
2,Oise,Neufchâtel,2.425166653,49.40993322
3,Puy-de-Dôme,Fourme d'Ambert,3.140218796,45.72588093
4,Corrèze,Truffe de Ventadour,1.87756894835,45.3573421503
5,Côte-d'Or,Le Trou du Cru,4.77158315,47.4255835
6,Cher,Crottin de Chavignol,2.491251963,47.06582823
7,Lot,Cabécou,1.60549433196,44.6246181243
8,Gard,Picodon,4.179808586,43.99359853
9,Isère,Bleu du Vercors-Sassenage,5.574173173,45.26399479
10,Côte-d'Or,Epoisses de Bourgogne,4.77158315,47.4255835
11,Hautes-Alpes,Banon de Provence,5.6286,44.0389
12,Calvados,Livarot,0.1497,49.0044
13,Savoie,Reblochon,6.442909232,45.47755119
14,Aveyron,Roquefort,2.67848837,44.28112599
15,Aube,Brie de Meaux,4.16142406,48.30464013
16,Bas-Rhin,Munster,7.552044304,48.67148311
17,Orne,Camembert,0.17752023,48.8936
18,Calvados,Pont-l'évêque,-0.363238906,49.09944756
19,Pas-de-Calais,Vieux Boulogne,2.29,50.49381039




















