Year;Facial Hair Style;Number
1899;Goatee;0
1902;Cleanshaven;254
1906;Moustache;16
1910;Goatee;0
1914;Moustache (with Muttonchops);0
1924;Moustache (with Muttonchops);0
1926;Moustache;47
1930;Moustache (with Muttonchops);0
1931;Moustache (with Sideburns);0
1937;Cleanshaven;987
1938;Cleanshaven;1069
1940;Muttonchops;0
1941;Muttonchops;0
1942;Full Beard/Chinstrap;0
1945;Sideburns;0
1948;Moustache;103
1950;Moustache (with Muttonchops);0
1953;Full Beard/Chinstrap;0
1954;Goatee;1
1956;Full Beard/Chinstrap;0
1959;Sideburns;1
1960;Moustache (with Sideburns);0
1962;Full Beard/Chinstrap;0
1971;Sideburns;383
1974;Moustache (with Muttonchops);204
1978;Muttonchops;54
1981;Full Beard/Chinstrap;113
1992;Goatee;3
1997;Cleanshaven;642
1998;Cleanshaven;579
2000;Goatee;22
2000;Muttonchops;4
2003;Goatee;29
2004;Moustache (with Muttonchops);0
2005;Moustache (with Muttonchops);0
2005;Goatee;34
2007;Cleanshaven;227
2008;Muttonchops;1
1901;Goatee;0
1906;Sideburns;0
1914;Moustache (with Sideburns);0
1918;Moustache (with Sideburns);0
1920;Moustache (with Muttonchops);0
1922;Full Beard/Chinstrap;0
1924;Cleanshaven;686
1931;Cleanshaven;885
1933;Sideburns;1
1936;Full Beard/Chinstrap;0
1944;Moustache (with Muttonchops);0
1963;Full Beard/Chinstrap;2
1964;Sideburns;2
1964;Cleanshaven;1062
1969;Moustache (with Sideburns);22
1972;Cleanshaven;215
1973;Moustache;27
1975;Moustache (with Muttonchops);129
1978;Full Beard/Chinstrap;161
1992;Full Beard/Chinstrap;25
1994;Moustache (with Sideburns);0
1994;Goatee;7
2007;Sideburns;89
1902;Sideburns;1
1905;Cleanshaven;362
1908;Moustache (with Sideburns);0
1915;Moustache (with Sideburns);0
1918;Muttonchops;0
1919;Sideburns;0
1920;Goatee;0
1921;Muttonchops;0
1922;Muttonchops;0
1924;Moustache;63
1929;Moustache;78
1944;Sideburns;0
1944;Goatee;0
1960;Cleanshaven;924
1960;Full Beard/Chinstrap;7
1961;Goatee;1
1968;Muttonchops;8
1976;Sideburns;163
1981;Muttonchops;6
1984;Moustache (with Muttonchops);2
1985;Muttonchops;0
1987;Moustache (with Muttonchops);0
1988;Muttonchops;0
1989;Full Beard/Chinstrap;36
1991;Cleanshaven;482
1995;Muttonchops;0
2001;Moustache (with Muttonchops);0
2005;Muttonchops;5
2006;Muttonchops;6
1900;Sideburns;0
1907;Sideburns;0
1907;Goatee;0
1909;Full Beard/Chinstrap;0
1911;Moustache (with Muttonchops);0
1911;Goatee;0
1917;Muttonchops;0
1925;Moustache (with Muttonchops);0
1925;Cleanshaven;772
1933;Muttonchops;1
1934;Full Beard/Chinstrap;0
1935;Cleanshaven;846
1936;Sideburns;0
1942;Moustache;51
1943;Full Beard/Chinstrap;0
1946;Goatee;0
1949;Moustache (with Muttonchops);0
1952;Full Beard/Chinstrap;1
1953;Muttonchops;0
1955;Moustache (with Muttonchops);0
1958;Muttonchops;0
1961;Muttonchops;0
1963;Cleanshaven;965
1967;Sideburns;22
1973;Muttonchops;453
1975;Muttonchops;254
1979;Moustache (with Sideburns);71
1981;Moustache (with Muttonchops);6
1986;Moustache (with Sideburns);5
1988;Cleanshaven;650
1988;Moustache;108
1992;Moustache (with Sideburns);0
2000;Moustache (with Sideburns);1
2001;Goatee;49
2008;Goatee;11
1901;Muttonchops;0
1901;Moustache;58
1905;Full Beard/Chinstrap;0
1912;Moustache (with Sideburns);0
1912;Moustache (with Muttonchops);0
1913;Moustache (with Sideburns);0
1913;Moustache (with Muttonchops);0
1919;Goatee;0
1919;Cleanshaven;305
1920;Moustache (with Sideburns);0
1927;Moustache (with Sideburns);0
1927;Cleanshaven;805
1927;Moustache;52
1929;Moustache (with Muttonchops);0
1931;Goatee;0
1935;Goatee;0
1935;Muttonchops;0
1939;Moustache;57
1942;Muttonchops;0
1945;Moustache (with Sideburns);0
1945;Full Beard/Chinstrap;0
1950;Full Beard/Chinstrap;3
1955;Goatee;0
1959;Moustache;10
1961;Cleanshaven;912
1962;Goatee;1
1963;Goatee;0
1967;Muttonchops;1
1968;Goatee;6
1971;Goatee;25
1976;Moustache (with Muttonchops);59
1978;Moustache (with Sideburns);85
1978;Goatee;4
1978;Moustache;100
1984;Moustache (with Sideburns);13
1985;Goatee;1
1988;Full Beard/Chinstrap;40
1991;Moustache;27
1998;Goatee;32
2000;Sideburns;107
2000;Cleanshaven;536
2004;Muttonchops;6
2005;Moustache (with Sideburns);0
2005;Cleanshaven;325
2005;Full Beard/Chinstrap;17
2007;Muttonchops;10
1899;Cleanshaven;230
1899;Full Beard/Chinstrap;2
1902;Goatee;0
1903;Moustache (with Muttonchops);0
1907;Moustache (with Sideburns);0
1913;Sideburns;0
1916;Goatee;0
1921;Sideburns;0
1923;Goatee;0
1924;Muttonchops;0
1926;Moustache (with Muttonchops);0
1932;Goatee;0
1941;Cleanshaven;1279
1947;Sideburns;0
1948;Moustache (with Sideburns);0
1951;Moustache (with Muttonchops);0
1951;Full Beard/Chinstrap;0
1953;Cleanshaven;889
1954;Full Beard/Chinstrap;1
1955;Sideburns;1
1956;Goatee;0
1965;Moustache (with Muttonchops);0
1966;Muttonchops;0
1969;Muttonchops;90
1974;Full Beard/Chinstrap;166
1975;Goatee;14
1979;Sideburns;135
